time,price_dkk_per_kwh,co2_g_per_kwh,score
2025-10-05 14:45:00,-0.019264086,228.04221933246848,0.14043526437824083
2025-10-05 15:00:00,-0.017994747,228.04221933246848,0.14072953477389066
2025-10-05 15:15:00,-0.016053405,228.04221933246848,0.1411795953790022
2025-10-05 15:30:00,-0.015157401,228.04221933246848,0.14138731565828447
2025-10-05 15:45:00,-0.022549434,228.04221933246848,0.1396736233542059
2025-10-05 16:00:00,-0.0118720529999999,228.04221933246848,0.1421489566823194
2025-10-05 16:15:00,-0.007616034,228.04221933246848,0.14313562800891005
2025-10-05 16:30:00,-0.00074667,228.04221933246848,0.14472815015007395
2025-10-05 16:45:00,-0.000298668,256.12012874264315,0.20366744839681172
2025-10-05 17:00:00,-0.006794697,256.12012874264315,0.20216147637201543
2025-10-05 17:15:00,0.000522669,256.12012874264315,0.20385785865282047
2025-10-05 17:30:00,0.017472078,256.12012874264315,0.20778723393590964
2025-10-05 17:45:00,0.0487575509999999,351.9328301991589,0.4158094354210619
2025-10-05 18:00:00,0.040096179,351.9328301991589,0.4138014727213335
2025-10-05 18:15:00,0.0821337,351.9328301991589,0.42354701582432563
2025-10-05 19:45:00,0.3689296469999999,161.3860768832255,0.0907564520230689
2025-10-05 20:00:00,0.2538678,161.3860768832255,0.06408170615857355
2025-10-05 20:15:00,0.183531486,161.3860768832255,0.047775664234917074
2025-10-05 20:30:00,0.101995122,161.3860768832255,0.028873118820232493
2025-10-05 20:45:00,0.0528642359999999,302.76622050286306,0.31373604490400575
2025-10-05 21:00:00,0.058538928,302.76622050286306,0.31505160667279336
2025-10-05 21:15:00,0.038453505,302.76622050286306,0.3103952104122163
2025-10-05 21:30:00,0.035466825,302.76622050286306,0.3097028094812755
2025-10-05 21:45:00,0.031136139,161.3860768832255,0.01244590673366137
2025-10-05 22:00:00,0.042933525,161.3860768832255,0.015180890410877638
2025-10-05 22:15:00,0.036288162,161.3860768832255,0.013640298339534295
2025-10-05 22:30:00,0.0445015319999999,161.3860768832255,0.015544400899621549
2025-10-05 22:45:00,0.031658808,173.51660449503458,0.03798581075189617
2025-10-05 23:00:00,0.036437496,173.51660449503458,0.039093652241401496
2025-10-05 23:15:00,0.03061347,173.51660449503458,0.037743470426066884
2025-10-05 23:30:00,0.0295681319999999,173.51660449503458,0.037501130100237576
2025-10-05 23:45:00,0.025088112,237.7733019221614,0.1711082706361007
2025-10-06 00:00:00,0.231318366,237.7733019221614,0.2189185549175648
2025-10-06 00:15:00,0.183158158,237.7733019221614,0.2077535915289514
2025-10-06 00:30:00,0.117749859,237.7733019221614,0.19259000951853986
2025-10-06 00:45:00,0.09034707,327.4553112808851,0.3741600650409074
2025-10-06 01:00:00,0.1034137949999999,327.4553112808851,0.3771893191137735
2025-10-06 01:15:00,0.078923019,327.4553112808851,0.3715116314800587
2025-10-06 01:30:00,0.068021637,327.4553112808851,0.3689843680821247
